date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
19:44:28	1238/1238	---M--	404	error ('Not%20Found')	text/html	date:Thu,%2017%20Mar%202022%2018:44:28%20GMT	https://cosmiqsnft.mint-public.com/css/fonts/satoshi-lightitalic.html	C:/Users/tball/Desktop/nft%20mint/nft%20mintt/cosmiqsnft.mint-public.com/css/fonts/satoshi-lightitalic.html	(from https://cosmiqsnft.mint-public.com/css/fonts.css)
19:44:28	1238/1238	---M--	404	error ('Not%20Found')	text/html	date:Thu,%2017%20Mar%202022%2018:44:28%20GMT	https://cosmiqsnft.mint-public.com/css/fonts/satoshi-lightitalic-2.html	C:/Users/tball/Desktop/nft%20mint/nft%20mintt/cosmiqsnft.mint-public.com/css/fonts/satoshi-lightitalic-2.html	(from https://cosmiqsnft.mint-public.com/css/fonts.css)
19:44:28	1238/1238	---M--	404	error ('Not%20Found')	text/html	date:Thu,%2017%20Mar%202022%2018:44:28%20GMT	https://cosmiqsnft.mint-public.com/css/fonts/satoshi-lightitalic-3.html	C:/Users/tball/Desktop/nft%20mint/nft%20mintt/cosmiqsnft.mint-public.com/css/fonts/satoshi-lightitalic-3.html	(from https://cosmiqsnft.mint-public.com/css/fonts.css)
19:44:29	1238/1238	---M--	404	error ('Not%20Found')	text/html	date:Thu,%2017%20Mar%202022%2018:44:28%20GMT	https://cosmiqsnft.mint-public.com/css/fonts/satoshi-light.html	C:/Users/tball/Desktop/nft%20mint/nft%20mintt/cosmiqsnft.mint-public.com/css/fonts/satoshi-light.html	(from https://cosmiqsnft.mint-public.com/css/fonts.css)
19:44:29	1238/1238	---M--	404	error ('Not%20Found')	text/html	date:Thu,%2017%20Mar%202022%2018:44:29%20GMT	https://cosmiqsnft.mint-public.com/css/fonts/satoshi-light-2.html	C:/Users/tball/Desktop/nft%20mint/nft%20mintt/cosmiqsnft.mint-public.com/css/fonts/satoshi-light-2.html	(from https://cosmiqsnft.mint-public.com/css/fonts.css)
19:44:29	1238/1238	---M--	404	error ('Not%20Found')	text/html	date:Thu,%2017%20Mar%202022%2018:44:29%20GMT	https://cosmiqsnft.mint-public.com/css/fonts/satoshi-light-3.html	C:/Users/tball/Desktop/nft%20mint/nft%20mintt/cosmiqsnft.mint-public.com/css/fonts/satoshi-light-3.html	(from https://cosmiqsnft.mint-public.com/css/fonts.css)
19:44:29	1238/1238	---M--	404	error ('Not%20Found')	text/html	date:Thu,%2017%20Mar%202022%2018:44:29%20GMT	https://cosmiqsnft.mint-public.com/css/fonts/satoshi-regular.html	C:/Users/tball/Desktop/nft%20mint/nft%20mintt/cosmiqsnft.mint-public.com/css/fonts/satoshi-regular.html	(from https://cosmiqsnft.mint-public.com/css/fonts.css)
19:44:30	1238/1238	---M--	404	error ('Not%20Found')	text/html	date:Thu,%2017%20Mar%202022%2018:44:30%20GMT	https://cosmiqsnft.mint-public.com/css/fonts/satoshi-regular-2.html	C:/Users/tball/Desktop/nft%20mint/nft%20mintt/cosmiqsnft.mint-public.com/css/fonts/satoshi-regular-2.html	(from https://cosmiqsnft.mint-public.com/css/fonts.css)
19:44:30	1238/1238	---M--	404	error ('Not%20Found')	text/html	date:Thu,%2017%20Mar%202022%2018:44:30%20GMT	https://cosmiqsnft.mint-public.com/css/fonts/satoshi-regular-3.html	C:/Users/tball/Desktop/nft%20mint/nft%20mintt/cosmiqsnft.mint-public.com/css/fonts/satoshi-regular-3.html	(from https://cosmiqsnft.mint-public.com/css/fonts.css)
19:44:30	1238/1238	---M--	404	error ('Not%20Found')	text/html	date:Thu,%2017%20Mar%202022%2018:44:30%20GMT	https://cosmiqsnft.mint-public.com/css/fonts/satoshi-italic.html	C:/Users/tball/Desktop/nft%20mint/nft%20mintt/cosmiqsnft.mint-public.com/css/fonts/satoshi-italic.html	(from https://cosmiqsnft.mint-public.com/css/fonts.css)
19:44:30	1238/1238	---M--	404	error ('Not%20Found')	text/html	date:Thu,%2017%20Mar%202022%2018:44:30%20GMT	https://cosmiqsnft.mint-public.com/css/fonts/satoshi-italic-2.html	C:/Users/tball/Desktop/nft%20mint/nft%20mintt/cosmiqsnft.mint-public.com/css/fonts/satoshi-italic-2.html	(from https://cosmiqsnft.mint-public.com/css/fonts.css)
19:44:31	1238/1238	---M--	404	error ('Not%20Found')	text/html	date:Thu,%2017%20Mar%202022%2018:44:31%20GMT	https://cosmiqsnft.mint-public.com/css/fonts/satoshi-italic-3.html	C:/Users/tball/Desktop/nft%20mint/nft%20mintt/cosmiqsnft.mint-public.com/css/fonts/satoshi-italic-3.html	(from https://cosmiqsnft.mint-public.com/css/fonts.css)
19:44:31	1238/1238	---M--	404	error ('Not%20Found')	text/html	date:Thu,%2017%20Mar%202022%2018:44:31%20GMT	https://cosmiqsnft.mint-public.com/css/fonts/satoshi-mediumitalic.html	C:/Users/tball/Desktop/nft%20mint/nft%20mintt/cosmiqsnft.mint-public.com/css/fonts/satoshi-mediumitalic.html	(from https://cosmiqsnft.mint-public.com/css/fonts.css)
19:44:31	1238/1238	---M--	404	error ('Not%20Found')	text/html	date:Thu,%2017%20Mar%202022%2018:44:31%20GMT	https://cosmiqsnft.mint-public.com/css/fonts/satoshi-mediumitalic-2.html	C:/Users/tball/Desktop/nft%20mint/nft%20mintt/cosmiqsnft.mint-public.com/css/fonts/satoshi-mediumitalic-2.html	(from https://cosmiqsnft.mint-public.com/css/fonts.css)
19:44:32	1238/1238	---M--	404	error ('Not%20Found')	text/html	date:Thu,%2017%20Mar%202022%2018:44:31%20GMT	https://cosmiqsnft.mint-public.com/css/fonts/satoshi-mediumitalic-3.html	C:/Users/tball/Desktop/nft%20mint/nft%20mintt/cosmiqsnft.mint-public.com/css/fonts/satoshi-mediumitalic-3.html	(from https://cosmiqsnft.mint-public.com/css/fonts.css)
19:44:32	1238/1238	---M--	404	error ('Not%20Found')	text/html	date:Thu,%2017%20Mar%202022%2018:44:32%20GMT	https://cosmiqsnft.mint-public.com/css/fonts/Satoshi-Medium.woff2	C:/Users/tball/Desktop/nft%20mint/nft%20mintt/cosmiqsnft.mint-public.com/css/fonts/Satoshi-Medium.woff2	(from https://cosmiqsnft.mint-public.com/css/fonts.css)
19:44:32	1238/1238	---M--	404	error ('Not%20Found')	text/html	date:Thu,%2017%20Mar%202022%2018:44:32%20GMT	https://cosmiqsnft.mint-public.com/css/fonts/Satoshi-Medium.woff	C:/Users/tball/Desktop/nft%20mint/nft%20mintt/cosmiqsnft.mint-public.com/css/fonts/Satoshi-Medium.woff	(from https://cosmiqsnft.mint-public.com/css/fonts.css)
19:44:32	1238/1238	---M--	404	error ('Not%20Found')	text/html	date:Thu,%2017%20Mar%202022%2018:44:32%20GMT	https://cosmiqsnft.mint-public.com/css/fonts/Satoshi-Medium.ttf	C:/Users/tball/Desktop/nft%20mint/nft%20mintt/cosmiqsnft.mint-public.com/css/fonts/Satoshi-Medium.ttf	(from https://cosmiqsnft.mint-public.com/css/fonts.css)
19:44:32	1238/1238	---M--	404	error ('Not%20Found')	text/html	date:Thu,%2017%20Mar%202022%2018:44:32%20GMT	https://cosmiqsnft.mint-public.com/css/fonts/satoshi-bolditalic.html	C:/Users/tball/Desktop/nft%20mint/nft%20mintt/cosmiqsnft.mint-public.com/css/fonts/satoshi-bolditalic.html	(from https://cosmiqsnft.mint-public.com/css/fonts.css)
19:44:33	1238/1238	---M--	404	error ('Not%20Found')	text/html	date:Thu,%2017%20Mar%202022%2018:44:33%20GMT	https://cosmiqsnft.mint-public.com/css/fonts/satoshi-bolditalic-2.html	C:/Users/tball/Desktop/nft%20mint/nft%20mintt/cosmiqsnft.mint-public.com/css/fonts/satoshi-bolditalic-2.html	(from https://cosmiqsnft.mint-public.com/css/fonts.css)
19:44:33	1238/1238	---M--	404	error ('Not%20Found')	text/html	date:Thu,%2017%20Mar%202022%2018:44:33%20GMT	https://cosmiqsnft.mint-public.com/css/fonts/satoshi-bolditalic-3.html	C:/Users/tball/Desktop/nft%20mint/nft%20mintt/cosmiqsnft.mint-public.com/css/fonts/satoshi-bolditalic-3.html	(from https://cosmiqsnft.mint-public.com/css/fonts.css)
19:44:33	1238/1238	---M--	404	error ('Not%20Found')	text/html	date:Thu,%2017%20Mar%202022%2018:44:33%20GMT	https://cosmiqsnft.mint-public.com/css/fonts/Satoshi-Bold.woff2	C:/Users/tball/Desktop/nft%20mint/nft%20mintt/cosmiqsnft.mint-public.com/css/fonts/Satoshi-Bold.woff2	(from https://cosmiqsnft.mint-public.com/css/fonts.css)
19:44:33	1238/1238	---M--	404	error ('Not%20Found')	text/html	date:Thu,%2017%20Mar%202022%2018:44:33%20GMT	https://cosmiqsnft.mint-public.com/css/fonts/Satoshi-Bold.woff	C:/Users/tball/Desktop/nft%20mint/nft%20mintt/cosmiqsnft.mint-public.com/css/fonts/Satoshi-Bold.woff	(from https://cosmiqsnft.mint-public.com/css/fonts.css)
19:44:34	1238/1238	---M--	404	error ('Not%20Found')	text/html	date:Thu,%2017%20Mar%202022%2018:44:34%20GMT	https://cosmiqsnft.mint-public.com/css/fonts/Satoshi-Bold.ttf	C:/Users/tball/Desktop/nft%20mint/nft%20mintt/cosmiqsnft.mint-public.com/css/fonts/Satoshi-Bold.ttf	(from https://cosmiqsnft.mint-public.com/css/fonts.css)
19:44:34	1238/1238	---M--	404	error ('Not%20Found')	text/html	date:Thu,%2017%20Mar%202022%2018:44:34%20GMT	https://cosmiqsnft.mint-public.com/css/fonts/satoshi-blackitalic.html	C:/Users/tball/Desktop/nft%20mint/nft%20mintt/cosmiqsnft.mint-public.com/css/fonts/satoshi-blackitalic.html	(from https://cosmiqsnft.mint-public.com/css/fonts.css)
19:44:34	1238/1238	---M--	404	error ('Not%20Found')	text/html	date:Thu,%2017%20Mar%202022%2018:44:34%20GMT	https://cosmiqsnft.mint-public.com/css/fonts/satoshi-blackitalic-2.html	C:/Users/tball/Desktop/nft%20mint/nft%20mintt/cosmiqsnft.mint-public.com/css/fonts/satoshi-blackitalic-2.html	(from https://cosmiqsnft.mint-public.com/css/fonts.css)
19:44:34	1238/1238	---M--	404	error ('Not%20Found')	text/html	date:Thu,%2017%20Mar%202022%2018:44:34%20GMT	https://cosmiqsnft.mint-public.com/css/fonts/satoshi-blackitalic-3.html	C:/Users/tball/Desktop/nft%20mint/nft%20mintt/cosmiqsnft.mint-public.com/css/fonts/satoshi-blackitalic-3.html	(from https://cosmiqsnft.mint-public.com/css/fonts.css)
19:44:35	23484/23484	---M--	200	added ('OK')	font/woff2	date:Mon,%2021%20Feb%202022%2004:28:24%20GMT	https://cosmiqsnft.mint-public.com/css/fonts/Satoshi-Black.woff2	C:/Users/tball/Desktop/nft%20mint/nft%20mintt/cosmiqsnft.mint-public.com/css/fonts/Satoshi-Black.woff2	(from https://cosmiqsnft.mint-public.com/css/fonts.css)
19:44:36	30376/30376	---M--	200	added ('OK')	font/woff	date:Mon,%2021%20Feb%202022%2004:06:12%20GMT	https://cosmiqsnft.mint-public.com/css/fonts/Satoshi-Black.woff	C:/Users/tball/Desktop/nft%20mint/nft%20mintt/cosmiqsnft.mint-public.com/css/fonts/Satoshi-Black.woff	(from https://cosmiqsnft.mint-public.com/css/fonts.css)
19:44:36	73176/73176	---M--	200	added ('OK')	font/ttf	date:Mon,%2021%20Feb%202022%2004:05:50%20GMT	https://cosmiqsnft.mint-public.com/css/fonts/Satoshi-Black.ttf	C:/Users/tball/Desktop/nft%20mint/nft%20mintt/cosmiqsnft.mint-public.com/css/fonts/Satoshi-Black.ttf	(from https://cosmiqsnft.mint-public.com/css/fonts.css)
